OBX,Siste
22.07.19 09:06:52,799.87
22.07.19 09:06:51,799.91
22.07.19 09:06:51,799.90
22.07.19 09:06:51,799.85
22.07.19 09:06:51,799.85
22.07.19 09:06:51,799.88
22.07.19 09:06:50,799.83
22.07.19 09:06:50,799.81
22.07.19 09:06:50,799.82
22.07.19 09:06:50,799.83
22.07.19 09:06:50,799.82
22.07.19 09:06:50,799.81
22.07.19 09:06:50,799.83
22.07.19 09:06:48,799.83
22.07.19 09:06:48,799.85
22.07.19 09:06:48,799.86
22.07.19 09:06:48,799.87
22.07.19 09:06:47,799.87
22.07.19 09:06:46,799.88
22.07.19 09:06:46,799.87
22.07.19 09:06:46,799.88
22.07.19 09:06:45,799.89
22.07.19 09:06:45,799.88
22.07.19 09:06:45,799.91
22.07.19 09:06:44,800.02
22.07.19 09:06:44,800.04
22.07.19 09:06:43,800.05
22.07.19 09:06:43,800.04
22.07.19 09:06:43,800.03
22.07.19 09:06:43,800.04
22.07.19 09:06:43,800.03
22.07.19 09:06:43,800.07
22.07.19 09:06:42,800.12
22.07.19 09:06:42,800.12
22.07.19 09:06:42,800.16
22.07.19 09:06:42,800.17
22.07.19 09:06:41,800.24
22.07.19 09:06:41,800.23
22.07.19 09:06:41,800.24
22.07.19 09:06:40,800.22
22.07.19 09:06:40,800.23
22.07.19 09:06:40,800.21
22.07.19 09:06:40,800.22
22.07.19 09:06:40,800.23
22.07.19 09:06:40,800.27
22.07.19 09:06:40,800.31
22.07.19 09:06:39,800.45
22.07.19 09:06:39,800.47
22.07.19 09:06:38,800.48
22.07.19 09:06:38,800.49
22.07.19 09:06:38,800.52
22.07.19 09:06:38,800.51
22.07.19 09:06:37,800.53
22.07.19 09:06:37,800.53
22.07.19 09:06:36,800.54
22.07.19 09:06:36,800.55
22.07.19 09:06:33,800.58
22.07.19 09:06:33,800.57
22.07.19 09:06:32,800.56
22.07.19 09:06:32,800.56
22.07.19 09:06:31,800.56
22.07.19 09:06:31,800.57
22.07.19 09:06:31,800.58
22.07.19 09:06:31,800.58
22.07.19 09:06:30,800.58
22.07.19 09:06:30,800.59
22.07.19 09:06:29,800.56
22.07.19 09:06:29,800.57
22.07.19 09:06:29,800.59
22.07.19 09:06:29,800.63
22.07.19 09:06:29,800.62
22.07.19 09:06:29,800.62
22.07.19 09:06:29,800.63
22.07.19 09:06:29,800.66
22.07.19 09:06:28,800.65
22.07.19 09:06:27,800.65
22.07.19 09:06:27,800.65
22.07.19 09:06:26,800.64
22.07.19 09:06:26,800.63
22.07.19 09:06:25,800.55
22.07.19 09:06:25,800.56
22.07.19 09:06:25,800.61
22.07.19 09:06:25,800.62
22.07.19 09:06:22,800.66
22.07.19 09:06:22,800.68
22.07.19 09:06:22,800.67
22.07.19 09:06:21,800.68
22.07.19 09:06:21,800.65
22.07.19 09:06:21,800.63
22.07.19 09:06:20,800.66
22.07.19 09:06:20,800.67
22.07.19 09:06:20,800.76
22.07.19 09:06:20,800.74
22.07.19 09:06:20,800.75
22.07.19 09:06:20,800.74
22.07.19 09:06:20,800.75
22.07.19 09:06:18,800.74
22.07.19 09:06:18,800.81
22.07.19 09:06:18,800.79
22.07.19 09:06:18,800.78
22.07.19 09:06:17,800.84
22.07.19 09:06:17,800.83
22.07.19 09:06:16,800.84
22.07.19 09:06:16,800.89
22.07.19 09:06:16,800.87
22.07.19 09:06:14,800.86
22.07.19 09:06:14,800.89
22.07.19 09:06:13,800.93
22.07.19 09:06:12,800.94
22.07.19 09:06:12,800.92
22.07.19 09:06:12,800.92
22.07.19 09:06:12,800.96
22.07.19 09:06:11,800.98
22.07.19 09:06:11,800.96
22.07.19 09:06:11,800.96
22.07.19 09:06:11,800.97
22.07.19 09:06:11,801.00
22.07.19 09:06:10,801.03
22.07.19 09:06:10,801.02
22.07.19 09:06:09,801.03
22.07.19 09:06:08,801.02
22.07.19 09:06:07,801.03
22.07.19 09:06:07,800.98
22.07.19 09:06:07,800.99
22.07.19 09:06:07,801.00
22.07.19 09:06:05,801.00
22.07.19 09:06:04,800.99
22.07.19 09:06:03,801.01
22.07.19 09:06:02,801.02
22.07.19 09:06:02,801.00
22.07.19 09:06:02,801.01
22.07.19 09:06:02,800.99
22.07.19 09:06:01,800.97
22.07.19 09:06:01,800.98
22.07.19 09:06:00,800.96
22.07.19 09:06:00,800.97
22.07.19 09:06:00,800.96
22.07.19 09:06:00,800.97
22.07.19 09:06:00,800.98
22.07.19 09:05:59,801.00
22.07.19 09:05:58,801.01
22.07.19 09:05:58,800.99
22.07.19 09:05:57,800.98
22.07.19 09:05:57,800.97
22.07.19 09:05:57,801.02
22.07.19 09:05:57,801.00
22.07.19 09:05:57,801.01
22.07.19 09:05:56,801.02
22.07.19 09:05:56,801.03
22.07.19 09:05:55,801.04
22.07.19 09:05:55,801.06
22.07.19 09:05:55,801.03
22.07.19 09:05:53,801.05
22.07.19 09:05:52,801.07
22.07.19 09:05:50,801.05
22.07.19 09:05:50,801.06
22.07.19 09:05:49,801.04
22.07.19 09:05:48,801.06
22.07.19 09:05:47,801.08
22.07.19 09:05:46,801.10
22.07.19 09:05:46,801.11
22.07.19 09:05:44,801.11
22.07.19 09:05:43,801.12
22.07.19 09:05:43,801.13
22.07.19 09:05:43,801.12
22.07.19 09:05:42,801.11
22.07.19 09:05:42,801.07
22.07.19 09:05:40,801.07
22.07.19 09:05:39,801.02
22.07.19 09:05:38,801.05
22.07.19 09:05:38,801.05
22.07.19 09:05:37,801.06
22.07.19 09:05:36,801.06
22.07.19 09:05:36,801.05
22.07.19 09:05:35,801.02
22.07.19 09:05:34,800.99
22.07.19 09:05:34,800.98
22.07.19 09:05:34,800.97
22.07.19 09:05:34,800.96
22.07.19 09:05:33,800.94
22.07.19 09:05:32,800.92
22.07.19 09:05:32,800.95
22.07.19 09:05:32,800.95
22.07.19 09:05:32,800.93
22.07.19 09:05:32,800.94
22.07.19 09:05:31,800.96
22.07.19 09:05:31,800.92
22.07.19 09:05:30,800.87
22.07.19 09:05:30,800.88
22.07.19 09:05:30,800.87
22.07.19 09:05:30,800.86
22.07.19 09:05:29,800.87
22.07.19 09:05:29,800.86
22.07.19 09:05:28,800.86
22.07.19 09:05:28,800.91
22.07.19 09:05:28,801.00
22.07.19 09:05:28,800.95
22.07.19 09:05:28,801.00
22.07.19 09:05:28,800.95
22.07.19 09:05:27,801.00
22.07.19 09:05:27,801.02
22.07.19 09:05:27,801.00
22.07.19 09:05:26,800.99
22.07.19 09:05:26,801.02
22.07.19 09:05:25,801.02
22.07.19 09:05:25,800.98
22.07.19 09:05:24,800.96
22.07.19 09:05:24,800.97
22.07.19 09:05:24,800.96
22.07.19 09:05:23,800.96
22.07.19 09:05:23,800.95
22.07.19 09:05:21,800.93
22.07.19 09:05:21,800.90
22.07.19 09:05:20,800.89
22.07.19 09:05:20,800.87
22.07.19 09:05:20,800.86
22.07.19 09:05:20,800.84
22.07.19 09:05:19,800.81
22.07.19 09:05:19,800.82
22.07.19 09:05:19,800.80
22.07.19 09:05:19,800.80
22.07.19 09:05:18,800.79
22.07.19 09:05:18,800.83
22.07.19 09:05:18,800.83
22.07.19 09:05:17,800.81
22.07.19 09:05:17,800.81
22.07.19 09:05:17,800.81
22.07.19 09:05:16,800.80
22.07.19 09:05:16,800.79
22.07.19 09:05:15,800.82
22.07.19 09:05:15,800.83
22.07.19 09:05:15,800.82
22.07.19 09:05:14,800.81
22.07.19 09:05:14,800.82
22.07.19 09:05:14,800.81
22.07.19 09:05:14,800.81
22.07.19 09:05:14,800.82
22.07.19 09:05:13,800.82
22.07.19 09:05:13,800.84
22.07.19 09:05:13,800.83
22.07.19 09:05:13,800.81
22.07.19 09:05:13,800.77
22.07.19 09:05:13,800.76
22.07.19 09:05:12,800.75
22.07.19 09:05:12,800.74
22.07.19 09:05:11,800.74
22.07.19 09:05:11,800.71
22.07.19 09:05:10,800.71
22.07.19 09:05:10,800.71
22.07.19 09:05:10,800.71
22.07.19 09:05:10,800.70
22.07.19 09:05:10,800.68
22.07.19 09:05:08,800.68
22.07.19 09:05:08,800.64
22.07.19 09:05:07,800.64
22.07.19 09:05:06,800.63
22.07.19 09:05:05,800.63
22.07.19 09:05:04,800.59
22.07.19 09:05:04,800.58
22.07.19 09:05:04,800.57
22.07.19 09:05:04,800.52
22.07.19 09:05:03,800.52
22.07.19 09:05:02,800.52
22.07.19 09:05:02,800.53
22.07.19 09:05:02,800.55
22.07.19 09:05:02,800.53
22.07.19 09:05:02,800.54
22.07.19 09:05:02,800.54
22.07.19 09:05:02,800.53
22.07.19 09:05:02,800.52
22.07.19 09:05:02,800.54
22.07.19 09:05:01,800.52
22.07.19 09:05:01,800.53
22.07.19 09:05:01,800.52
22.07.19 09:05:01,800.53
22.07.19 09:05:01,800.52
22.07.19 09:05:01,800.53
22.07.19 09:05:01,800.52
22.07.19 09:05:01,800.56
22.07.19 09:05:01,800.53
22.07.19 09:05:01,800.54
22.07.19 09:05:01,800.52
22.07.19 09:05:01,800.53
22.07.19 09:05:00,800.52
22.07.19 09:04:59,800.48
22.07.19 09:04:56,800.48
22.07.19 09:04:56,800.51
22.07.19 09:04:54,800.42
22.07.19 09:04:51,800.41
22.07.19 09:04:50,800.41
22.07.19 09:04:50,800.36
22.07.19 09:04:50,800.33
22.07.19 09:04:50,800.30
22.07.19 09:04:50,800.28
22.07.19 09:04:50,800.29
22.07.19 09:04:50,800.29
22.07.19 09:04:49,800.28
22.07.19 09:04:47,800.24
22.07.19 09:04:43,800.26
22.07.19 09:04:43,800.31
22.07.19 09:04:40,800.33
22.07.19 09:04:38,800.33
22.07.19 09:04:38,800.34
22.07.19 09:04:37,800.31
22.07.19 09:04:37,800.34
22.07.19 09:04:36,800.31
22.07.19 09:04:34,800.33
22.07.19 09:04:32,800.30
22.07.19 09:04:32,800.38
22.07.19 09:04:31,800.39
22.07.19 09:04:29,800.39
22.07.19 09:04:28,800.39
22.07.19 09:04:26,800.40
22.07.19 09:04:26,800.31
22.07.19 09:04:25,800.31
22.07.19 09:04:25,800.30
22.07.19 09:04:24,800.31
22.07.19 09:04:22,800.31
22.07.19 09:04:21,800.30
22.07.19 09:04:20,800.29
22.07.19 09:04:20,800.32
22.07.19 09:04:18,800.31
22.07.19 09:04:18,800.34
22.07.19 09:04:17,800.33
22.07.19 09:04:17,800.32
22.07.19 09:04:16,800.33
22.07.19 09:04:15,800.41
22.07.19 09:04:14,800.40
22.07.19 09:04:14,800.45
22.07.19 09:04:13,800.54
22.07.19 09:04:10,800.58
22.07.19 09:04:08,800.60
22.07.19 09:04:08,800.56
